DF_INDEX	corpus	lang_prof	xml_file	sent_num	src	tgt	corrected	text_type	line_start	line_end	strat_key
6805	Kolipsi_1_L2	L2	5361_2.xml	4	Ich mag den Urlaub am Meer besser, weil man am Meer besser als in den Bergen berühigen kann.	Ich mag den Urlaub am Meer besser, weil man am Meer besser als in den Bergen beruhigen kann.	True	opinion	31585	31605	Kolipsi_1_L2_opinion_True
5000	Kolipsi_1_L2	L2	3557_2.xml	6	Ich denke, dass Meer ist schön.	Ich denke, das Meer ist schön.	True	opinion	4332	4340	Kolipsi_1_L2_opinion_True
5884	Kolipsi_1_L2	L2	4661_2.xml	10	In die Berge wird das wetter immer schlecht, es regnet viel zu viel und vielleicht können wir nicht viel wandern weil es wird nacher sehr kalt.	In die Berge wird das Wetter immer schlecht, es regnet viel zu viel und vielleicht können wir nicht viel wandern weil es wird nachher sehr kalt.	True	opinion	17675	17703	Kolipsi_1_L2_opinion_True
11317	Kolipsi_2	L2	I19_VEN01SIM_2.xml	1	Ich kann sehr gut mitfühlen was du durchmachst.	Ich kann sehr gut mitfühlen was du durchmachst.	False	opinion	41573	41582	Kolipsi_2_opinion_False
6979	Kolipsi_1_L2	L2	5533_2.xml	9	Sonne, Kalt Wasser, und wir mussen nicht hundert Kleiden anziehen.	Sonne, kalt Wasser, und wir müssen nicht hundert Kleiden anziehen.	True	opinion	34614	34627	Kolipsi_1_L2_opinion_True
6792	Kolipsi_1_L2	L2	5361_1.xml	1	Ich bin für alles bereit und erwarte eine Antwort.	Ich bin für alles bereit und erwarte eine Antwort.	False	picture story	31315	31325	Kolipsi_1_L2_picture story_False
1700	Kolipsi_1_L1	L1	M0089_2.xml	1	Da wir ja im Sommer zusammen vereisen wollten, und uns noch nicht sicher sind, wohin es gehen soll, habe ich mir im Internet einige Informationen durchgelesen.	Da wir ja im Sommer zusammen verreisen wollten, und uns noch nicht sicher sind, wohin es gehen soll, habe ich mir im Internet einige Informationen durchgelesen.	True	opinion	30384	30414	Kolipsi_1_L1_opinion_True
6747	Kolipsi_1_L2	L2	5359_2.xml	7	Aber auch die Berge sind wunderschön...	Aber auch die Berge sind wunderschön...	False	opinion	30682	30691	Kolipsi_1_L2_opinion_False
10099	Kolipsi_2	L2	I10_NIC15JAQ_1.xml	12	Sie hat mir gefragt ob ich kann ich dir sagen: Wir müssen bei ihr um 19: 00 sein.	Sie hat mir gefragt ob ich kann ich dir sagen: Wir müssen bei ihr um 19: 00 sein.	False	picture story	22569	22590	Kolipsi_2_picture story_False
1875	Kolipsi_1_L1	L1	M0094_2.xml	10	Aber inzwischen glaube ich es wäre viel schöner, sich, so richtig zu erholen.	Aber inzwischen glaube ich es wäre viel schöner, sich, so richtig zu erholen.	False	opinion	33146	33162	Kolipsi_1_L1_opinion_False
14672	LEONIDE	L2	DE_op_2_57X33A02_53.xml	1	Und dann werden wir nur benachteilt weil wir nicht mehr viele Jobs finden.	Und dann werden wir nur benachteilt weil wir nicht mehr viele Jobs finden.	False	opinion	13530	13544	LEONIDE_opinion_False
10520	Kolipsi_2	L2	I11_WAL01JER_2.xml	9	Man muss sich immer im Klaren sein was man tut.	Man muss sich immer im Klaren sein was man tut.	False	opinion	29669	29680	Kolipsi_2_opinion_False
5327	Kolipsi_1_L2	L2	4351_2.xml	14	Ich liebe besser ans Meer fahren.	Ich liebe besser ans Meer fahren.	False	opinion	8725	8732	Kolipsi_1_L2_opinion_False
10604	Kolipsi_2	L2	I13_GOB31CHI_2.xml	1	Liebe Paul, ich habe deiner Text gelesen.	Liebe Paul, ich habe deiner Text gelesen.	False	opinion	31107	31116	Kolipsi_2_opinion_False
16709	LEONIDE	L2	DE_pic_2_57X32A15_49.xml	5	Als sie wieder von ihnen abließen erkannte man die beiden Mädchen nicht mehr wieder: Zerrissene Kleidung, zerzauste Haare und leuchtend grüne Augen.	Als sie wieder von ihnen abließen erkannte man die beiden Mädchen nicht mehr wieder: Zerrissene Kleidung, zerzauste Haare und leuchtend grüne Augen.	False	picture story	48831	48856	LEONIDE_picture story_False
2145	Kolipsi_1_L1	L1	M0103_2.xml	3	Es gibt gute Luft und eine schöne Landschaft ausserdem kann man dort sehr gut Downhill fahren.	Es gibt gute Luft und eine schöne Landschaft außerdem kann man dort sehr gut Downhill fahren.	True	opinion	38003	38020	Kolipsi_1_L1_opinion_True
13978	LEONIDE	L2	DE_op_1_57X31A07_100.xml	2	Deutsch, Italienisch und Englisch braucht man sehr viel, weil größe städe sind und viele Leute sprechen diese drei Sprachen.	Deutsch, Italienisch und Englisch braucht man sehr viel, weil große Städte sind und viele Leute sprechen diese drei Sprachen.	True	opinion	1280	1302	LEONIDE_opinion_True
7339	Kolipsi_1_L2	L2	5788_1.xml	3	Gina bezahlte alles und ging zur Tür.	Gina bezahlte alles und ging zur Tür.	False	picture story	39961	39969	Kolipsi_1_L2_picture story_False
9397	Kolipsi_2	L2	I06_NEG02SIL_1.xml	12	Da ich nur wenig Bargeld mithatte musste ich die Soßen im Supermarkt lassen und deshalb stehe ich jetzt ohne da.	Da ich nur wenig Bargeld mithatte musste ich die Soßen im Supermarkt lassen und deshalb stehe ich jetzt ohne da.	False	picture story	10934	10955	Kolipsi_2_picture story_False
16172	LEONIDE	L2	DE_pic_1_57X34A05_4.xml	4	Panisch holte der fette Vater die Wertsachen, die noch zu retten waren aus dem Haus.	Panisch holte der fette Vater die Wertsachen, die noch zu retten waren aus dem Haus.	False	picture story	39949	39966	LEONIDE_picture story_False
5145	Kolipsi_1_L2	L2	3812_1.xml	7	Aber, sie hatte den Kassenzettel vergessen.	Aber, sie hatte den Kassenzettel vergessen.	False	picture story	6326	6334	Kolipsi_1_L2_picture story_False
6195	Kolipsi_1_L2	L2	4921_1.xml	2	Maria zahlte die Sache dass sie genommen hatte und dann ging sie an die anderen Geschäft.	Maria zahlte die Sache dass sie genommen hatte und dann ging sie an die anderen Geschäft.	False	picture story	22344	22361	Kolipsi_1_L2_picture story_False
6611	Kolipsi_1_L2	L2	5294_2.xml	3	wir müssen uns jetzt entscheiden ob wir in die Bergwelt fahren oder ob wir das Meer vorziehen.	Wir müssen uns jetzt entscheiden ob wir in die Bergwelt fahren oder ob wir das Meer vorziehen.	True	opinion	28653	28671	Kolipsi_1_L2_opinion_True
4588	Kolipsi_1_L1	L1	M0228_1.xml	8	Du meintest zwar ich soll den Urlaub allein aussuchen, aber ich brauche trotzdem deine Hilfe.	Du meintest zwar ich soll den Urlaub allein aussuchen, aber ich brauche trotzdem deine Hilfe.	False	picture story	80052	80069	Kolipsi_1_L1_picture story_False
13060	Kolipsi_2	L2	I38_DEG24MAR_2.xml	11	Sucht dir echte Freunden mit den du einen Nachmittag verbringen kannst!	Sucht dir echte Freunden mit den du einen Nachmittag verbringen kannst!	False	opinion	70794	70806	Kolipsi_2_opinion_False
12011	Kolipsi_2	L2	I24_MAR11ANA_2.xml	6	Virtuelle Freundschaften gibt es nicht Paul, glaub mir.	Virtuelle Freundschaften gibt es nicht Paul, glaub mir.	False	opinion	53823	53833	Kolipsi_2_opinion_False
9047	Kolipsi_2	L2	I02_MAL31JAL_2.xml	5	Ein Tag liegte ich am mein Bett, und weinte weil ich kein Freunde hatte, ich füllte mich so da niemannt mich liebt, ich war sehr traureg.	Ein Tag liegte ich am mein Bett, und weinte weil ich kein Freunde hatte, ich fühlte mich so da niemand mich liebt, ich war sehr traurig.	True	opinion	5178	5208	Kolipsi_2_opinion_True
14190	LEONIDE	L2	DE_op_1_57X33A20_8.xml	2	Italienis das sollte man auch lernen weil Südtirol ia zu Italien gehörd ober nich so intensiv.	Italienisch das sollte man auch lernen weil Südtirol ja zu Italien gehört aber nicht so intensiv.	True	opinion	5444	5461	LEONIDE_opinion_True
5740	Kolipsi_1_L2	L2	4616_2.xml	3	Wie du weisst ich habe einen Urlaub mit dir geplannt.	Wie du weißt ich habe einen Urlaub mit dir geplant.	True	opinion	15175	15186	Kolipsi_1_L2_opinion_True
16530	LEONIDE	L2	DE_pic_2_57X31A21_56.xml	1	Emma pflückte immer eine Blume auf und dann ließ sie es fallen.	Emma pflückte immer eine Blume auf und dann ließ sie es fallen.	False	picture story	45784	45797	LEONIDE_picture story_False
14858	LEONIDE	L2	DE_op_2_57X34A18_55.xml	7	Die was schon hier sind, werden auch erschosen.	Die was schon hier sind, werden auch erschossen.	True	opinion	16908	16918	LEONIDE_opinion_True
1617	Kolipsi_1_L1	L1	M0084_2.xml	16	Ans Meer, wo dir zartgebräunte Badenixen in knappen Bikinis den Rücken eincremen wollen, oder willst du in die Berge, wo du einem alten Kuhbauern in Lederhosen dabei zu schauen kannst wie er die Euter seiner Kühe desinfiziert bevor es zum Melken geht?	Ans Meer, wo dir zartgebräunte Badenixen in knappen Bikinis den Rücken eincremen wollen, oder willst du in die Berge, wo du einem alten Kuhbauern in Lederhosen dabei zuschauen kannst wie er die Euter seiner Kühe desinfiziert bevor es zum Melken geht?	True	opinion	29081	29126	Kolipsi_1_L1_opinion_True
15087	LEONIDE	L2	DE_op_2_57Y28A07_51.xml	2	Ich lernen neue Sprachen zur Schule.	Ich lernen neue Sprachen zur Schule.	False	opinion	20656	20663	LEONIDE_opinion_False
13654	Kolipsi_2	L2	I41_BAR10MAT_1.xml	6	Marie hatte es früher weggegeschossen und also sie wusste nicht was sie machen konnte.	Maria hatte es früher weggeschossen und also sie wusste nicht was sie machen konnte.	True	picture story	80645	80660	Kolipsi_2_picture story_True
4818	Kolipsi_1_L2	L2	3544_1.xml	1	Liebe Matteo, Ich will dich erzählt was passiert mit meine Freundin Maria.	Liebe Matteo, ich will dich erzählt was passiert mit meine Freundin Maria.	True	picture story	1849	1863	Kolipsi_1_L2_picture story_True
5688	Kolipsi_1_L2	L2	4611_1.xml	3	Sie hat viel Obst gekauft, weil ihr schmeckt.	Sie hat viel Obst gekauft, weil ihr schmeckt.	False	picture story	14223	14233	Kolipsi_1_L2_picture story_False
14870	LEONIDE	L2	DE_op_2_57Y25A03_62.xml	1	Wenn ich lernen ich schaue ein video an, und ich mache die Hausafgaben und lerne ein Buch.	Wenn ich lernen ich schaue ein Video an, und ich mache die Hausaufgaben und lerne ein Buch.	True	opinion	17113	17132	LEONIDE_opinion_True
13837	Kolipsi_2	L2	I99_CAS09NIC_2.xml	6	Vor glabte ich das im Internet konnte man keine Freundschaftt finden, aber jetzt denke ich viele anderen Sachen.	Vor glaubte ich dass im Internet konnte man keine Freundschaftt finden, aber jetzt denke ich viele anderen Sachen.	True	opinion	83823	83843	Kolipsi_2_opinion_True
13142	Kolipsi_2	L2	I38_GOB09MAT_2.xml	4	Erstens möchte ich sagen, dass ich nicht eine Gute Meinung über virtuelle Freundschaften habe.	Erstens möchte ich sagen, dass ich nicht eine gute Meinung über virtuelle Freundschaften habe.	True	opinion	72246	72262	Kolipsi_2_opinion_True
14670	LEONIDE	L2	DE_op_2_57X33A01_53.xml	6	Man müste eine Brüfung machen an der Grenze wer sich was getraut weil viele getrauen sich zu viel.	Man müsste eine Prüfung machen an der Grenze wer sich was getraut weil viele getrauen sich zu viel.	True	opinion	13500	13519	LEONIDE_opinion_True
6404	Kolipsi_1_L2	L2	5042_1.xml	8	Sie war wie ein Teufel!	Sie war wie ein Teufel!	False	picture story	25585	25591	Kolipsi_1_L2_picture story_False
6171	Kolipsi_1_L2	L2	4918_2.xml	16	In Kalabrien das Meer ist sehr sehr schön und as Wett ist immer schön und warm.	In Kalabrien das Meer ist sehr sehr schön und as Wett ist immer schön und warm.	False	opinion	22002	22019	Kolipsi_1_L2_opinion_False
7672	Kolipsi_1_L2	L2	6317_1.xml	7	Später die Obst- und Gemüseladen wir gehe in Supermarkt für einige Ausgabe machen.	Später die Obst- und Gemüseladen wir gehe in Supermarkt für einige Ausgabe machen.	False	picture story	45396	45410	Kolipsi_1_L2_picture story_False
17400	LEONIDE	L2	DE_pic_2_57Y28A15_50.xml	4	"„ Süses oder Saueres? "", sagten Ines und Hannes."	"„ Süßes oder Saueres? "", sagten Ines und Hannes."	True	picture story	58899	58911	LEONIDE_picture story_True
3397	Kolipsi_1_L1	L1	M0169_1.xml	7	Die ist echt manchmal voll dumm, dass die den selben Fehler einfach 2mal macht.	Die ist echt manchmal voll dumm, dass die denselben Fehler einfach 2-mal macht.	True	picture story	59292	59307	Kolipsi_1_L1_picture story_True
16901	LEONIDE	L2	DE_pic_2_57X33A16_52.xml	2	Die Mädchen waren Sauer und liefen nach Haus.	Die Mädchen waren sauer und liefen nach Haus.	True	picture story	51674	51683	LEONIDE_picture story_True
7366	Kolipsi_1_L2	L2	5856_2.xml	6	Wir können auch tauchen und die Fische sehen.	Wir können auch tauchen und die Fische sehen.	False	opinion	40345	40354	Kolipsi_1_L2_opinion_False
18232	LEONIDE	L2	DE_pic_3_57Y27A23_114.xml	4	Herr Watson gibt zu deine Tochter ein Origami, und sagen wenn felen er die Vogel sehen.	Herr Watson gibt zu deine Tochter ein Origami, und sagen wenn fehlen er die Vogel sehen.	True	picture story	72355	72373	LEONIDE_picture story_True
13536	Kolipsi_2	L2	I40_DIP22GIO_1.xml	6	Ich habe seine obst und Gemüseladen gezählt.	Ich habe seine Obst- und Gemüseladen gezählt.	True	picture story	78872	78880	Kolipsi_2_picture story_True
14407	LEONIDE	L2	DE_op_1_57Y27A23_16.xml	1	Ich möchte die Kochschule machen.	Ich möchte die Kochschule machen.	False	opinion	8777	8783	LEONIDE_opinion_False
6106	Kolipsi_1_L2	L2	4910_2.xml	4	Jetzt planen ich eine Urlaub mit meine Freunden, aber wir sind nicht noch sicher ob wir in den Bergen oder am Meer fahren sollen.	Jetzt planen ich eine Urlaub mit meine Freunden, aber wir sind nicht noch sicher ob wir in den Bergen oder am Meer fahren sollen.	False	opinion	21093	21119	Kolipsi_1_L2_opinion_False
5391	Kolipsi_1_L2	L2	4358_1.xml	1	Liebe Christian, wie geht es dir?	Liebe Christian, wie geht es dir?	False	picture story	9544	9552	Kolipsi_1_L2_picture story_False
12960	Kolipsi_2	L2	I37_POL21GIU_1.xml	19	Die Polizei und die Frau haben sich mit Maria entschuldigt und sie hat auch vom Supermarkt sehr viele Coupon bekommen.	Die Polizei und die Frau haben sich mit Maria entschuldigt und sie hat auch vom Supermarkt sehr viele Coupon bekommen.	False	picture story	69147	69168	Kolipsi_2_picture story_False
17657	LEONIDE	L2	DE_pic_3_57X32A06_104.xml	10	Als er in den Zug steigt, verspricht er seiner Frau, er werde zurückkommen doch ein halbes Jahr später kam ein Brief: Darin stand, er sei krank und er werde gleich sterben.	Als er in den Zug steigt, verspricht er seiner Frau, er werde zurückkommen doch ein halbes Jahr später kam ein Brief: Darin stand, er sei krank und er werde gleich sterben.	False	picture story	63069	63105	LEONIDE_picture story_False
12197	Kolipsi_2	L2	I25_ZAB29ALE_1.xml	6	Liebe Paul es tut mir leid für deine situation, für mich Freundschaft ist sehr wichtig aber virtuelle Freundschaft ist etwas anderes.	Liebe Paul es tut mir leid für deine Situation, für mich Freundschaft ist sehr wichtig aber virtuelle Freundschaft ist etwas anderes.	True	picture story	56496	56519	Kolipsi_2_picture story_True
1685	Kolipsi_1_L1	L1	M0089_1.xml	4	Doch als sie gerade Bezahlen wollte, fragte die Kassiererin plötzlich die Frau, was sie denn noch in ihrer Tasche habe.	Doch als sie gerade bezahlen wollte, fragte die Kassiererin plötzlich die Frau, was sie denn noch in ihrer Tasche habe.	True	picture story	30070	30093	Kolipsi_1_L1_picture story_True
10337	Kolipsi_2	L2	I11_FRA06DAN_1.xml	12	Da habe ich gelernt, dass man immer die Kassazettel haben muss, sondern kann man Probleme dieser Art haben.	Da habe ich gelernt, dass man immer die Kassazettel haben muss, sondern kann man Probleme dieser Art haben.	False	picture story	26524	26545	Kolipsi_2_picture story_False
16000	LEONIDE	L2	DE_pic_1_57X32A18_3.xml	8	"Das schreibst du bis MORGEN alles nach "" Oh meine Güte, dachte sich der Junge."	"Das schreibst du bis morgen alles nach "" Oh meine Güte, dachte sich der Junge."	True	picture story	37111	37128	LEONIDE_picture story_True
13495	Kolipsi_2	L2	I40_BON31IRE_1.xml	5	Dort gab es ein Problem and der Kasse: sie hat wieder den Kassenzettel vergessen.	Dort gab es ein Problem an der Kasse: Sie hat wieder den Kassenzettel vergessen.	True	picture story	78392	78408	Kolipsi_2_picture story_True
14961	LEONIDE	L2	DE_op_2_57Y26A13_63.xml	5	Ich spiele auch vierhändig Klavier und venn ich meine Freundin einladen für Proben, wir, danach spielen und ich probiere deutsch zu sprechen.	Ich spiele auch vierhändig Klavier und wenn ich meine Freundin einladen für Proben, wir, danach spielen und ich probiere Deutsch zu sprechen.	True	opinion	18663	18688	LEONIDE_opinion_True
9734	Kolipsi_2	L2	I08_NAN11ANN_2.xml	3	Aber wir kann nicht nur virtuelle Freundschaften haben.	Aber wir kann nicht nur virtuelle Freundschaften haben.	False	opinion	16705	16714	Kolipsi_2_opinion_False
14525	LEONIDE	L2	DE_op_2_57X31A11_57.xml	5	Die Menschen sollten es lernen, damit sie andere Sachen bauen können.	Die Menschen sollten es lernen, damit sie andere Sachen bauen können.	False	opinion	10725	10738	LEONIDE_opinion_False
7009	Kolipsi_1_L2	L2	5538_2.xml	3	Gehts mit Manuel alles gut?	Gehts mit Manuel alles gut?	False	opinion	35143	35149	Kolipsi_1_L2_opinion_False
6009	Kolipsi_1_L2	L2	4854_2.xml	5	Der Prei beträgt auf € 300. 00 pro Person Meer und auf den Bergen.	Der Preis beträgt auf € 300. 00 pro Person Meer und auf den Bergen.	True	opinion	19749	19765	Kolipsi_1_L2_opinion_True
2230	Kolipsi_1_L1	L1	M0106_2.xml	10	Das Hotel hat jedoch auch einen Wellness-Bereich.	Das Hotel hat jedoch auch einen Wellness-Bereich.	False	opinion	39450	39458	Kolipsi_1_L1_opinion_False
12247	Kolipsi_2	L2	I26_FID18MAD_1.xml	12	Bis nachsten mal, dein Simon.	Bis nachsten Mal, dein Simon.	True	picture story	57205	57212	Kolipsi_2_picture story_True
14537	LEONIDE	L2	DE_op_2_57X31A17_57.xml	1	Dann baut man auch Häuser für ihnen sodass sie es gut wie andre Menschen haben.	Dann baut man auch Häuser für ihnen sodass sie es gut wie andere Menschen haben.	True	opinion	10956	10972	LEONIDE_opinion_True
13199	Kolipsi_2	L2	I38_PAG02GRE_2.xml	2	Man will sich nur ein wenig unterhalten aber ich glaube dass die Beste Freundschaft sind wenn du ein Mensch in den Augen schauen kann.	Man will sich nur ein wenig unterhalten aber ich glaube dass die beste Freundschaft sind wenn du ein Mensch in den Augen schauen kann.	True	opinion	73242	73267	Kolipsi_2_opinion_True
11027	Kolipsi_2	L2	I17_DAN29NIC_1.xml	3	Die Polizei kommt und nimmt Maria mit.	Die Polizei kommt und nimmt Maria mit.	False	picture story	37400	37408	Kolipsi_2_picture story_False
2811	Kolipsi_1_L1	L1	M0146_2.xml	10	Abgesehen vom Wandern kann man in den Bergen der Natur auch mal näher kommen.	Abgesehen vom Wandern kann man in den Bergen der Natur auch mal näherkommen	True	opinion	49750	49763	Kolipsi_1_L1_opinion_True
8081	Kolipsi_1_L2	L2	6409_2.xml	2	Aber Maria hat nicht mehr Geld und für das die Frau an der Kasse möchte auch die Poeilei rufen.	Aber Maria hat nicht mehr Geld und für das die Frau an der Kasse möchte auch die Polizei rufen.	True	opinion	51788	51808	Kolipsi_1_L2_opinion_True
4321	Kolipsi_1_L1	L1	M0209_1.xml	8	Naja.. ich wollte dir bloß bescheid sagen, damit du auch bescheid weisst.	Na ja.. ich wollte dir bloß Bescheid sagen, damit du auch Bescheid weißt.	True	picture story	75403	75419	Kolipsi_1_L1_picture story_True
9316	Kolipsi_2	L2	I05_SGA07STE_2.xml	6	Ich habe bei ein TV-Sendungen gesehen dass hinter virtuelle-menchen kann decken andaren Leute.	Ich habe bei ein TV-Sendungen gesehen dass hinter virtuelle Menschen kann decken anderen Leute.	True	opinion	9550	9564	Kolipsi_2_opinion_True
16784	LEONIDE	L2	DE_pic_2_57X33A02_52.xml	7	Da sahen sie ein Licht und sie hörten 4 andere stimmen und es waren nicht Menschliche geräusche sondern es war eine andere sprache.	Da sahen sie ein Licht und sie hörten 4 andere Stimmen und es waren nicht menschliche Geräusche sondern es war eine andere Sprache.	True	picture story	50025	50049	LEONIDE_picture story_True
12844	Kolipsi_2	L2	I37_CAR04LIN_2.xml	2	Ich schreibe dir, weil ich will, was ich über virtuelle Freundschaften denken.	Ich schreibe dir, weil ich will, was ich über virtuelle Freundschaften denken.	False	opinion	67244	67259	Kolipsi_2_opinion_False
2390	Kolipsi_1_L1	L1	M0125_2.xml	2	Ich würde ja lieber ans Meer fahren, Sonne, Strand, Meer, Wasser, Eis...	Ich würde ja lieber ans Meer fahren, Sonne, Strand, Meer, Wasser, Eis...	False	opinion	42402	42422	Kolipsi_1_L1_opinion_False
13066	Kolipsi_2	L2	I38_DEP05CHI_1.xml	6	Sie war sehr glücklich und hat mit mir gesprochen.	Sie war sehr glücklich und hat mit mir gesprochen.	False	picture story	70864	70874	Kolipsi_2_picture story_False
16171	LEONIDE	L2	DE_pic_1_57X34A05_4.xml	3	Bei ihnen zu Hause brannte es.	Bei ihnen zu Hause brannte es.	False	picture story	39941	39948	LEONIDE_picture story_False
9415	Kolipsi_2	L2	I06_SIM24URO_1.xml	3	Ich habe mit meiner Kreditkarte bezahlt und es war alles in Oordnung.	Ich habe mit meiner Kreditkarte bezahlt und es war alles in Ordnung.	True	picture story	11305	11318	Kolipsi_2_picture story_True
15280	LEONIDE	L2	DE_op_3_57X32A09_108.xml	7	Meiner meinung nach sollen die Schüler/innen der Mittelschule Deutsch, Italienisch und Englisch lernen, weil Z.B in Italien spricht man Deutsch und Italienisch aber wenn man Z.B nach Spanien urlaub machen will und du kannst die Spanische sprache nicht dann muss man englisch reden, weil die Englische sprache in fast jedem Land verwendet wird.	Meiner Meinung nach sollen die Schüler und Schülerinnen der Mittelschule Deutsch, Italienisch und Englisch lernen, weil z.B. in Italien spricht man Deutsch und Italienisch aber wenn man z.B. nach Spanien Urlaub machen will und du kannst die spanische Sprache nicht dann muss man Englisch reden, weil die englische Sprache in fast jedem Land verwendet wird.	True	opinion	24686	24743	LEONIDE_opinion_True
6166	Kolipsi_1_L2	L2	4918_2.xml	11	Wir spilen mit den Strankdrakketten.	Wir spielen mit den Strankdrakketten.	True	opinion	21952	21958	Kolipsi_1_L2_opinion_True
4427	Kolipsi_1_L1	L1	M0217_1.xml	2	Ihr ist diese Woche beim Einkaufen etwas ganz schlechtes passiert.	Ihr ist diese Woche beim Einkaufen etwas ganz Schlechtes passiert.	True	picture story	77417	77428	Kolipsi_1_L1_picture story_True
1412	Kolipsi_1_L1	L1	M0076_1.xml	10	Stell dir mal vor es wäre die selbe Apfelsorte gewesen!	Stell dir mal vor es wäre dieselbe Apfelsorte gewesen!	True	picture story	25193	25203	Kolipsi_1_L1_picture story_True
2711	Kolipsi_1_L1	L1	M0141_2.xml	7	Am Meer können wir uns mal so richtig ausspannen und braun werden.	Am Meer können wir uns mal so richtig ausspannen und braun werden.	False	opinion	48017	48030	Kolipsi_1_L1_opinion_False
2374	Kolipsi_1_L1	L1	M0124_2.xml	6	Ein Bergurlaub wäre villeicht ein bisschen billiger, aber da dies unser einziger Urlaub im Jahr ist, würde ich nicht aufs finanzielle schauen.	Ein Bergurlaub wäre vielleicht ein bisschen billiger, aber da dies unser einziger Urlaub im Jahr ist, würde ich nicht aufs Finanzielle schauen.	True	opinion	42103	42128	Kolipsi_1_L1_opinion_True
