corpus	lang_prof	xml_file	sent_num	src	tgt	corrected	text_type	line_start	line_end
Kolipsi_1_L1	L1	M0004_1.xml	4	An sich ist dies ja auch gar nicht schlimm, wäre sie danach nicht noch in den Supermarkt gegangen um den Rest zu holen.	An sich ist dies ja auch gar nicht schlimm, wäre sie danach nicht noch in den Supermarkt gegangen um den Rest zu holen.	False	picture story	817	842
Kolipsi_1_L1	L1	M0004_1.xml	5	Alles war auch ganz normal bis sie bezahlen wollte und das Gemüse natürlich in der Tasch ließ.	Alles war auch ganz normal bis sie bezahlen wollte und das Gemüse natürlich in der Tasche ließ.	True	picture story	843	861
Kolipsi_1_L1	L1	M0004_1.xml	6	Somit dachte die Kassirerin sie wollte die Sachen nicht bezahlen und klauen.	Somit dachte die Kassiererin sie wollte die Sachen nicht bezahlen und klauen.	True	picture story	862	875
Kolipsi_1_L1	L1	M0004_1.xml	7	Maria wurde natürlich mega rot und panisch zum Glück war die Kassiereinn nett und ließ sie zurück in den Gemüseladen gehen und den Bong holen.	Maria wurde natürlich mega rot und panisch zum Glück war die Kassiererin nett und ließ sie zurück in den Gemüseladen gehen und den Bon holen.	True	picture story	876	902
Kolipsi_1_L1	L1	M0004_1.xml	8	Anschließen ging Maria zurück und klärte die ganze Sache somit auf.	Anschließend ging Maria zurück und klärte die ganze Sache somit auf.	True	picture story	903	915
Kolipsi_1_L1	L1	M0004_1.xml	9	Ich bin wirklich sehr froh, dass mir so etwas noch nicht passiert ist.	Ich bin wirklich sehr froh, dass mir so etwas noch nicht passiert ist.	False	picture story	916	931
Kolipsi_1_L1	L1	M0004_2.xml	1	Lieber Moritz, Ich habe mir noch einmal Gedanken über unsere Urlaubspläne gemacht und möchte Dir hiermit meine zwei bevorzugten Möglichkeiten vorstellen.	Lieber Moritz, ich habe mir noch einmal Gedanken über unsere Urlaubspläne gemacht und möchte Dir hiermit meine zwei bevorzugten Möglichkeiten vorstellen.	True	opinion	932	955
Kolipsi_1_L1	L1	M0004_2.xml	2	Zum einen finde ich es interessant zwei Wochen Urlaub in den Bergen zu machen also zum Beispiel in der Schweiz, Italien oder Österreich.	Zum einen finde ich es interessant zwei Wochen Urlaub in den Bergen zu machen also zum Beispiel in der Schweiz, Italien oder Österreich.	False	opinion	956	981
Kolipsi_1_L1	L1	M0004_2.xml	3	Dort hätten wir die Möglichkeit in ein Wellnesshotel zu gehen und zu wandern.	Dort hätten wir die Möglichkeit in ein Wellnesshotel zu gehen und zu wandern.	False	opinion	982	996
Kolipsi_1_L1	L1	M0004_2.xml	4	Jedoch hätten wir dort nicht die Möglichkeit schwimmen zu gehen oder am Strand zu liegen.	Jedoch hätten wir dort nicht die Möglichkeit schwimmen zu gehen oder am Strand zu liegen.	False	opinion	997	1013
Kolipsi_1_L1	L1	M0004_2.xml	5	Womit ich zur zweiten Möglichkeit komme, nämlich ein Urlaub am Meer.	Womit ich zur zweiten Möglichkeit komme, nämlich ein Urlaub am Meer.	False	opinion	1014	1027
Kolipsi_1_L1	L1	M0004_2.xml	6	Persönlich finde ich die Vorstellung mit dir morgens von der Sonne geweckt zu werden um dann entspannte Tage zu verbringen an denen wir uns sonnen und ins Meer gehen ein wenig besser.	Persönlich finde ich die Vorstellung mit dir morgens von der Sonne geweckt zu werden um dann entspannte Tage zu verbringen an denen wir uns sonnen und ins Meer gehen ein wenig besser.	False	opinion	1028	1061
Kolipsi_1_L1	L1	M0004_2.xml	7	Selbstverständlich können wir an beiden Orten viel Sport machen und abends feiern gehen aber aus meinen Erfahrungen weiß ich, dass ein Urlaub am Meer und im Süden aufregender und belebter wäre.	Selbstverständlich können wir an beiden Orten viel Sport machen und abends feiern gehen aber aus meinen Erfahrungen weiß ich, dass ein Urlaub am Meer und im Süden aufregender und belebter wäre.	False	opinion	1062	1095
Kolipsi_1_L1	L1	M0004_2.xml	8	Alles in allem würde ich mich also freuen wenn wir unseren ersten gemeinsamen Urlaub zusammen am Meer verbringen würden.	Alles in allem würde ich mich also freuen wenn wir unseren ersten gemeinsamen Urlaub zusammen am Meer verbringen würden.	False	opinion	1096	1116
Kolipsi_1_L1	L1	M0005_1.xml	1	Hallo Julia,Ich muss dir unbedingt erzählen, was mir heute passiert ist, das war ein Schreck.	Hallo Julia,Ich muss dir unbedingt erzählen, was mir heute passiert ist, das war ein Schreck.	False	picture story	1117	1137
Kolipsi_1_L1	L1	M0005_1.xml	2	Ich bin heute morgen zum Obst kaufen gegangen, weil ich mir heute Mittag einen leckeren Obstkuchen backen wollte.	Ich bin heute morgen zum Obstkaufen gegangen, weil ich mir heute Mittag einen leckeren Obstkuchen backen wollte.	True	picture story	1138	1157
Kolipsi_1_L1	L1	M0005_1.xml	3	Danach bin ich für die Zutaten noch eben in den Supermarkt gegangen.	Danach bin ich für die Zutaten noch eben in den Supermarkt gegangen.	False	picture story	1158	1171
Kolipsi_1_L1	L1	M0005_1.xml	4	An der Kasse wollte die Kassierein dann, dass ich das Obst nocheinmal bezahle, weil sie dachte ich hätte es aus deren Obstabteilung.	An der Kasse wollte die Kassiererin dann, dass ich das Obst noch einmal bezahle, weil sie dachte ich hätte es aus deren Obstabteilung.	True	picture story	1172	1197
Kolipsi_1_L1	L1	M0005_1.xml	5	Ich habe ihr dann erklärt, dass ich vorher beim Obstladen war.	Ich habe ihr dann erklärt, dass ich vorher beim Obstladen war.	False	picture story	1198	1211
Kolipsi_1_L1	L1	M0005_1.xml	6	Sie wollte meinen Kassenbon sehen, aber den habe ich dort leider vergessen.	Sie wollte meinen Kassenbon sehen, aber den habe ich dort leider vergessen.	False	picture story	1212	1226
Kolipsi_1_L1	L1	M0005_1.xml	7	Dann wollte sie mir das wirklich nicht glauben.	Dann wollte sie mir das wirklich nicht glauben.	False	picture story	1227	1236
Kolipsi_1_L1	L1	M0005_1.xml	8	Sie wollte schon die Polizei rufen!	Sie wollte schon die Polizei rufen!	False	picture story	1237	1244
Kolipsi_1_L1	L1	M0005_1.xml	9	Aber dann habe ich ihr einfach vorgeschlagen, rüber in den Obstladen zu gehen und die Kassiererin da zu fragen ob sie den Kassenbon noch hat.	Aber dann habe ich ihr einfach vorgeschlagen, rüber in den Obstladen zu gehen und die Kassiererin da zu fragen ob sie den Kassenbon noch hat.	False	picture story	1245	1272
Kolipsi_1_L1	L1	M0005_1.xml	10	Genauso haben wir es dann auch gemacht und sie hat mir letztendlich doch noch geglaubt.	Genauso haben wir es dann auch gemacht und sie hat mir letztendlich doch noch geglaubt.	False	picture story	1273	1289
Kolipsi_1_L1	L1	M0005_1.xml	11	So und nun ist mein Kuchen fertig, ich höre mal auf zu schreiben.	So und nun ist mein Kuchen fertig, ich höre mal auf zu schreiben.	False	picture story	1290	1305
Kolipsi_1_L1	L1	M0005_2.xml	1	Hallo Sarah, ich schreibe dir wegen unserem gemeinsamen Sommerurlaub.	Hallo Sarah, ich schreibe dir wegen unserem gemeinsamen Sommerurlaub.	False	opinion	1306	1317
Kolipsi_1_L1	L1	M0005_2.xml	2	Wir haben uns ja immer noch nicht entschieden wohin wir wollen.	Wir haben uns ja immer noch nicht entschieden wohin wir wollen.	False	opinion	1318	1330
Kolipsi_1_L1	L1	M0005_2.xml	3	Beides hat schöne, aber auch schlechte Seiten an sich.	Beides hat schöne, aber auch schlechte Seiten an sich.	False	opinion	1331	1342
Kolipsi_1_L1	L1	M0005_2.xml	4	Am Meer haben wir Sonne, Strand und Meer, wir könnten den ganzen Tag schwimmen und uns sonnen und kämen schön braun wieder aus dem Urlaub zurück.	Am Meer haben wir Sonne, Strand und Meer, wir könnten den ganzen Tag schwimmen und uns sonnen und kämen schön braun wieder aus dem Urlaub zurück.	False	opinion	1343	1372
Kolipsi_1_L1	L1	M0005_2.xml	5	Aber ich denke wir würden die ganze Zeit nur rumhängen, keinen Sport machen und nur essen.	Aber ich denke wir würden die ganze Zeit nur rumhängen, keinen Sport machen und nur essen.	False	opinion	1373	1391
Kolipsi_1_L1	L1	M0005_2.xml	6	Das wäre also ziemlich doof.	Das wäre also ziemlich doof.	False	opinion	1392	1398
Kolipsi_1_L1	L1	M0005_2.xml	7	In den Bergen wiederum würden wir jeden Tag wandern gehen und uns sehr viel bewegen.	In den Bergen wiederum würden wir jeden Tag wandern gehen und uns sehr viel bewegen.	False	opinion	1399	1415
Kolipsi_1_L1	L1	M0005_2.xml	8	Auch braun würden wir werden, da wir ja den ganzen Tag an der frischen Luft wären.	Auch braun würden wir werden, da wir ja den ganzen Tag an der frischen Luft wären.	False	opinion	1416	1434
Kolipsi_1_L1	L1	M0005_2.xml	9	Aber ist das richtiger Urlaub?	Aber ist das richtiger Urlaub?	False	opinion	1435	1441
Kolipsi_1_L1	L1	M0005_2.xml	10	Am besten wäre eine Mischung aus beiden!	Am besten wäre eine Mischung aus beiden!	False	opinion	1442	1450
Kolipsi_1_L1	L1	M0005_2.xml	11	Wie wäre es, wenn wir runter Richtung Italien fahren und eine Woche in den Bergen bleiben?	Wie wäre es, wenn wir runter Richtung Italien fahren und eine Woche in den Bergen bleiben?	False	opinion	1451	1469
Kolipsi_1_L1	L1	M0005_2.xml	12	Dann haben wir eine Woche Sport und eine Entspannung!	Dann haben wir eine Woche Sport und eine Entspannung!	False	opinion	1470	1480
Kolipsi_1_L1	L1	M0005_2.xml	13	Schreibe mir bitte deine Meinung!	Schreibe mir bitte deine Meinung!	False	opinion	1481	1487
Kolipsi_1_L1	L1	M0006_1.xml	1	Hallo Tom, meiner Bekannten, Maria, war vor einer Woche etwas Peinliches im Supermarkt passiert.	Hallo Tom, meiner Bekannten, Maria, war vor einer Woche etwas Peinliches im Supermarkt passiert.	False	picture story	1488	1506
Kolipsi_1_L1	L1	M0006_1.xml	2	Sie war erst beim Obst- und Gemüseladen Kohl und Mais einkaufen und ging danach zum Supermarkt.	Sie war erst beim Obst- und Gemüseladen Kohl und Mais einkaufen und ging danach zum Supermarkt.	False	picture story	1507	1524
Kolipsi_1_L1	L1	M0006_1.xml	3	Maria trug im Supermarkt ihre Einkaufstasche mit dem Gemüse vom vorigen Laden mit sich und als sie die Supermarktwaren an der Kasse auf das Förderband legte, war die Kassiererin entsetzt, weil Maria Gemüse bei sich trug und keinen Kassenbon vorweisen konnte.	Maria trug im Supermarkt ihre Einkaufstasche mit dem Gemüse vom vorigen Laden mit sich und als sie die Supermarktwaren an der Kasse auf das Förderband legte, war die Kassiererin entsetzt, weil Maria Gemüse bei sich trug und keinen Kassenbon vorweisen konnte.	False	picture story	1525	1569
Kolipsi_1_L1	L1	M0006_1.xml	4	Sie dachte, Maria wollte das Gemüse stehlen.	Sie dachte, Maria wollte das Gemüse stehlen.	False	picture story	1570	1579
Kolipsi_1_L1	L1	M0006_1.xml	5	Maria war entsetzt und verwirrt.	Maria war entsetzt und verwirrt.	False	picture story	1580	1586
Kolipsi_1_L1	L1	M0006_1.xml	6	Sie einigte sich mit der Kassiererin darauf, dass sie die Tasche mit dem Gemüse an der Kasse stehen lässt und zum Obst- und Gemüseladen geht, um nach dem vergessenen Kassenbon zu suchen.	Sie einigte sich mit der Kassiererin darauf, dass sie die Tasche mit dem Gemüse an der Kasse stehen lässt und zum Obst- und Gemüseladen geht, um nach dem vergessenen Kassenbon zu suchen.	False	picture story	1587	1622
Kolipsi_1_L1	L1	M0006_1.xml	7	Sie fand den Bon und eilte zum Supermarkt, wies den Bon vor und durfte samt Gemüse das Geschäft verlassen.	Sie fand den Bon und eilte zum Supermarkt, wies den Bon vor und durfte samt Gemüse das Geschäft verlassen.	False	picture story	1623	1644
Kolipsi_1_L1	L1	M0006_1.xml	8	Hoffentlich passiert mir sowas nie.	Hoffentlich passiert mir sowas nie.	False	picture story	1645	1651
Kolipsi_1_L1	L1	M0006_2.xml	1	Hallo Richard, erinnerst Du Dich an unser Vorhaben im Sommer?	Hallo Richard, erinnerst Du Dich an unser Vorhaben im Sommer?	False	opinion	1652	1664
Kolipsi_1_L1	L1	M0006_2.xml	2	Ich habe etwas überlegt und bin zu dem Entschluss gekommen, dass ich entweder in die Berge oder an die See reisen möchte.	Ich habe etwas überlegt und bin zu dem Entschluss gekommen, dass ich entweder in die Berge oder an die See reisen möchte.	False	opinion	1665	1689
Kolipsi_1_L1	L1	M0006_2.xml	3	Am liebsten wäre mir Südtirol oder Kroatien, weil ich schonmal dort war.	Am liebsten wäre mir Südtirol oder Kroatien, weil ich schonmal dort war.	False	opinion	1690	1704
Kolipsi_1_L1	L1	M0006_2.xml	4	In Kroatien könnten wir zelten und im Meer schwimmen gehen.	In Kroatien könnten wir zelten und im Meer schwimmen gehen.	False	opinion	1705	1716
Kolipsi_1_L1	L1	M0006_2.xml	5	Die Leute dort sind freundlich, das Wetter ist sonnig, die Restaurants und die Bars sind der Hammer.	Die Leute dort sind freundlich, das Wetter ist sonnig, die Restaurants und die Bars sind der Hammer.	False	opinion	1717	1737
Kolipsi_1_L1	L1	M0006_2.xml	6	Man kann gut feiern und selbst zum bloßen Erholen ist Kroatien das reinste Paradies.	Man kann gut feiern und selbst zum bloßen Erholen ist Kroatien das reinste Paradies.	False	opinion	1738	1753
Kolipsi_1_L1	L1	M0006_2.xml	7	In Südtirol hingegen blieben uns drei Alternativen für die Freizeit: Skifahren, Relaxen oder Feiern.	In Südtirol hingegen blieben uns drei Alternativen für die Freizeit: Skifahren, Relaxen oder Feiern.	False	opinion	1754	1771
Kolipsi_1_L1	L1	M0006_2.xml	8	Es ist kalt und verschneit, allerdings wird man dort genau so gut braun wie in Kroatien, weil der Schnee die Sonne gut reflektiert.	Es ist kalt und verschneit, allerdings wird man dort genau so gut braun wie in Kroatien, weil der Schnee die Sonne gut reflektiert.	False	opinion	1772	1798
Kolipsi_1_L1	L1	M0006_2.xml	9	Die Gasthäuser sind super und die Diskothek ist die reinste Partyzone.	Die Gasthäuser sind super und die Diskothek ist die reinste Partyzone.	False	opinion	1799	1811
Kolipsi_1_L1	L1	M0006_2.xml	10	Wärme und Wasser oder Kälte und Schnee?	Wärme und Wasser oder Kälte und Schnee?	False	opinion	1812	1820
Kolipsi_1_L1	L1	M0006_2.xml	11	Überleg Dir die Sache und meld Dich bitte noch vor dem ersten Juni.	Überleg Dir die Sache und meld Dich bitte noch vor dem ersten Juni.	False	opinion	1821	1835
Kolipsi_1_L1	L1	M0006_2.xml	12	Vielleicht hast Du ja noch andere Vorschläge?	Vielleicht hast Du ja noch andere Vorschläge?	False	opinion	1836	1844
Kolipsi_1_L1	L1	M0006_2.xml	13	Wir sehen uns im Sommer, bis bald!	Wir sehen uns im Sommer, bis bald!	False	opinion	1845	1854
Kolipsi_1_L1	L1	M0012_1.xml	1	Du kannst Dir gar nicht vorstellen, was meiner Freundin Maria heute passiert ist: Sie wurde ernsthaft beschuldigt geklaut zu haben.	Du kannst Dir gar nicht vorstellen, was meiner Freundin Maria heute passiert ist: Sie wurde ernsthaft beschuldigt geklaut zu haben.	False	picture story	1855	1878
Kolipsi_1_L1	L1	M0012_1.xml	2	Ich weiß, das hört sich absurd an.	Ich weiß, das hört sich absurd an.	False	picture story	1879	1888
Kolipsi_1_L1	L1	M0012_1.xml	3	Deshalb erzähl ich dir lieber gleich die ganze Geschichte.	Deshalb erzähl ich dir lieber gleich die ganze Geschichte.	False	picture story	1889	1899
Kolipsi_1_L1	L1	M0012_1.xml	4	Also: Maria hat heute Abend Gäste und wollte für das Abendessen einkaufen.	Also: Maria hat heute Abend Gäste und wollte für das Abendessen einkaufen.	False	picture story	1900	1914
Kolipsi_1_L1	L1	M0012_1.xml	5	Deshalb ist zuerst zum Obst- und Gemüsehändler gegangen um dort frische Zutaten zu kaufen.	Deshalb ist zuerst zum Obst- und Gemüsehändler gegangen um dort frische Zutaten zu kaufen.	False	picture story	1915	1930
Kolipsi_1_L1	L1	M0012_1.xml	6	Ärgerlicherweise hat sie den Bon an der Kasse liegen lassen.	Ärgerlicherweise hat sie den Bon an der Kasse liegen lassen.	False	picture story	1931	1942
